tconst,titleType,originalTitle,isAdult,startYear,endYear,runtimeSecond,genres
tt0065392,movie,Amintiri bucurestene,0,2020,0,140,Documentary
tt0120589,movie,A Dangerous Practice,0,2020,0,94,Drama
tt9915436,movie,Vida em Movimento,0,2019,0,70,Documentary
tt9915790,movie,Bobbyr Bondhura,0,2019,0,100,Family
tt9915872,movie,My Girlfriend is a Wizard,0,2019,0,97,"Comedy,Drama,Fantasy"
tt0427543,movie,A Million Little Pieces,0,2018,0,113,Drama
tt0432010,movie,The Queen of Sheba Meets the Atom Man,0,2018,0,110,Comedy
tt10013634,movie,Cinderella,0,2018,0,150,Musical
tt10014042,movie,Forced Marriage,0,2018,0,52,"Comedy,Drama"
tt10016254,movie,Skvoznyye Shagi,0,2018,0,120,Drama
tt10016428,movie,Vargit zamani,0,2018,0,52,Documentary
tt10017502,movie,Lost Einstein,0,2018,0,48,"Drama,Sci-Fi"
tt10017510,movie,One Family,0,2018,0,87,Documentary
tt10017722,movie,Emiliano Queiroz: o Ator em sua Essência,0,2018,0,51,"Biography,Documentary"
tt10018116,movie,Stage 3,0,2018,0,90,Action
tt0837563,movie,Pet Sematary,0,2019,0,101,"Horror,Mystery,Thriller"
tt0846775,movie,Cine Manifest,0,2019,0,75,Documentary
tt0858419,movie,Bolden,0,2019,0,108,Drama
tt10001116,movie,Mistero di un Impiegato,0,2019,0,160,Drama
tt10001870,movie,Disrupted Land,0,2019,0,77,Documentary
tt10002654,movie,Pattabhiraman,0,2019,0,139,Drama
tt10003782,movie,Moments of Resistance,0,2019,0,98,Documentary
tt10003792,movie,Adalat,0,2019,0,60,Drama
tt10003806,movie,Jadugar 2,0,2019,0,80,Comedy
tt10003978,movie,Fiddler: A Miracle of Miracles,0,2019,0,97,Documentary
tt10003990,movie,Child of Wisdom,0,2019,0,0,Drama
tt9372478,movie,Everett,0,2021,0,0,Drama
tt9376118,movie,Ryobra,0,2021,0,0,Comedy
tt9376612,movie,Shang-Chi and the Legend of the Ten Rings,0,2021,0,83,"Action,Adventure,Fantasy"
tt9377100,movie,The Timekeeper's Moniker,0,2021,0,0,"Action,Adventure,Thriller"
tt9377392,movie,Ms. Bixby's Last Day,0,2021,0,89,"Comedy,Drama,Family"
tt9377474,movie,Psychedelic Pneuma,0,2021,0,130,Drama
tt9378070,movie,PARANGI,0,2021,0,0,Family
tt7315484,movie,The Silence,0,2019,0,90,"Drama,Horror,Sci-Fi"
tt9390026,movie,706,0,2019,0,120,Thriller
tt9887580,movie,Bulletproof 2,0,2020,0,97,"Action,Comedy"
tt11390036,movie,A Fall from Grace,0,2020,0,115,"Drama,Thriller"
tt5316540,movie,Close,0,2019,0,94,"Action,Drama,Thriller"
tt10324144,movie,Article 15,0,2019,0,130,"Crime,Drama,Mystery"
tt7643622,movie,The World We Make,0,2019,0,108,Drama
tt10506490,movie,Kousalya Krishnamurthy,0,2019,0,149,"Drama,Sport"
tt10507478,movie,Super Model Fantasy,0,2019,0,0,Drama
tt10507902,movie,Loco Fin de Semana,0,2019,0,93,Comedy
tt10507938,movie,Steampunk Connection,0,2019,0,75,Documentary
tt10508116,movie,Potuto: A timeless story,0,2019,0,105,"Comedy,Drama"
tt10508122,movie,L'école d'Arthur,0,2019,0,97,Documentary
tt10508182,movie,In Paradox,0,2019,0,95,"Mystery,Thriller"
tt10508276,movie,Santo Domingo,0,2019,0,80,"Documentary,History"
tt10508366,movie,Mi,0,2019,0,116,Drama
