IdFilm;TitreFilm;Annee;RuntimeMin;Remarque;genres
tt0062336;El Tango del Viudo y Su Espejo Deformante;2020;4200.0;;Drama
tt0065392;Amintiri bucurestene;2020;4000.0;;Documentary
tt0120589;;2020;2400.0;;Drama
tt0368133;The Promise of Perfume;2020;3420.0;;Documentary
tt0383477;Love & Orgasms;2020;4920.0;;Drama
tt0446792;Surviving in L.A.;2020;0.0;;Comedy,Drama,Romance
tt0451272;Nefarious;2020;;;Crime,Thriller
tt0459225;;2020;0.0;;Drama
tt0805647;The Witches;2020;6360.0;;Adventure,Comedy,Family
tt0849437;Duel of Legends;2020;0.0;;Action,Drama,Sport
tt9914368;Kuttram Seiyel;2019;0.0;;Action,Crime
tt9914522;The Holden Family Plan;2019;2500.0;;Drama,Family
tt9914582;;2019;4620.0;;Documentary
tt9914942;La vida sense la Sara Amat;2019;4440.0;;Drama
tt9915436;Vida em Movimento;2019;4200.0;;Documentary
tt9915790;Bobbyr Bondhura;2019;3000.0;;Family
tt9915872;My Girlfriend is a Wizard;2019;5820.0;;Comedy,Drama,Fantasy
tt9916160;Drømmeland;2019;4320.0;;Documentary
tt9916170;O Ensaio;2019;;;Drama
tt0111414;A Thin Life;2018;4500.0;;Comedy
tt0137818;Housesitter: The Night They Saved Siegfried's Brain;2018;;;
tt0170651;T.G.M. - osvoboditel;2018;3600.0;;Documentary
tt0192528;Reverse Heaven;2018;6240.0;;Drama
tt0276568;To Chase a Million;2018;5820.0;;Action,Drama
tt0328810;Aamaar Bhuvan;;;;Drama,Family
tt0360556;Fahrenheit 451;2018;6000.0;;Drama,Sci-Fi,Thriller
tt0427543;A Million Little Pieces;2018;6780.0;;Drama
tt0432010;The Queen of Sheba Meets the Atom Man;2018;6600.0;;
tt9428190;Norm of the North: King Sized Adventure;2019;5400.0;;Adventure,Animation,Comedy
tt10324144;Article 15;2019;7800.0;;Crime,Drama,Mystery
tt10379012;Speed Is My Need;2019;4500.0;;Documentary,Sport
tt6032076;Polar;2019;4860.0;;Comedy,Drama
tt5316540;Close;2019;5640.0;;Action,Drama,Thriller
tt8960204;Asih;2018;4620.0;;Horror
tt8961266;Andy Irons: Kissed by God;2018;6000.0;;Documentary
tt8961466;Paak;;0.0;;Drama
tt8961774;La migración;2018;4740.0;;Comedy,Musical
tt8961950;Tampere Sinfonia;2018;3480.0;;Documentary
tt8962336;Reveries;2018;2760.0;;Comedy
tt8962486;Thattum Purath Achuthan;2018;8520.0;;Comedy,Drama,Musical
tt8962518;Te lo dico Pianissimo;2018;5400.0;;Comedy
tt8962996;The Worm Has Turned;2018;4320.0;;Documentary
tt8963184;Animal House of Blues: 33.3 Special Edition;2018;5400.0;;Documentary
